  ARS_name        A4        B4        C4        D4        E4        F4        G4        H4        A5        B5        C5        D5        E5        F5        G5        H5        A6        B6        C6        D6        E6        F6        G6        H6        I6        J6        K6        L6        A7        B7        C7        D7        E7        F7        G7        H7        I7        J7        K7        L7      H7_c      I7_c      J7_c      K7_c      L7_c        A8        B8        C8        D8        E8        F8        I8        J8        K8        L8        M8        N8       A10       B10       C10       D10       E10       F10       G10       H10
  ARS221.5       NaN     0.011     0.013     0.036     0.017     0.015     0.018     0.078     0.236     0.014     0.226     0.026     0.018     0.021       NaN     0.013       NaN     0.017     0.062     0.021     0.027     0.024     0.181     0.141     0.171     0.022     0.038     0.062       NaN       NaN     0.574     0.041       NaN       NaN       NaN       NaN     0.082       NaN     0.143     0.087       NaN     0.083       NaN     0.166     0.093     0.148     0.010     0.033     0.018     0.032     0.113       NaN       NaN       NaN     0.034       NaN       NaN       NaN     0.021       NaN     0.044       NaN     0.040       NaN     0.078
    ARS222       NaN       NaN     0.078     0.323     0.034       NaN     0.178     0.562       NaN       NaN       NaN     0.099       NaN       NaN     0.007     0.065       NaN       NaN       NaN       NaN       NaN       NaN     0.016     0.015       NaN     0.060     0.372     0.594       NaN       NaN     0.095     0.356       NaN       NaN       NaN       NaN     0.546       NaN       NaN       NaN       NaN     0.548       NaN       NaN       NaN     0.006     0.074     0.303     0.061     0.324     0.661       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
  ARS222.5       NaN       NaN     0.019     0.323     0.034       NaN     0.014     0.562       NaN       NaN       NaN     0.099       NaN       NaN     0.009     0.065       NaN       NaN       NaN       NaN       NaN       NaN     0.016     0.015       NaN     0.018     0.020     0.594       NaN       NaN     0.095     0.356       NaN       NaN       NaN       NaN     0.546       NaN       NaN       NaN       NaN     0.548       NaN       NaN       NaN     0.004     0.007     0.019     0.061     0.324     0.661       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS223     0.008     0.025     0.025     0.107     0.022     0.037     0.059     0.231     0.030     0.051     0.022     0.057     0.020     0.068     0.008     0.043     0.049     0.037     0.170     0.072     0.046     0.078     0.014     0.011     0.009     0.045     0.080     0.147     0.007     0.020     0.018     0.085     0.019       NaN       NaN     0.013     0.170       NaN       NaN       NaN     0.013     0.171       NaN       NaN       NaN     0.006     0.020     0.081     0.040     0.082     0.183       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.086       NaN
    ARS224     0.005     0.035     0.018     0.303     0.023     0.065     0.085     0.641     0.018     0.086     0.014     0.119       NaN     0.116     0.006     0.086     0.028     0.036     0.158     0.165     0.046     0.134     0.013     0.010     0.005     0.110     0.380     0.739     0.004     0.029     0.025     0.374     0.025       NaN     0.019       NaN     0.813       NaN       NaN       NaN       NaN     0.816       NaN       NaN       NaN     0.004     0.017     0.116     0.109     0.342     0.787       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.318       NaN       NaN     0.124     0.483
    ARS225     0.005     0.047     0.020     0.266     0.022     0.104     0.073     0.614     0.035     0.138     0.025     0.201     0.018     0.200     0.008     0.137     0.049     0.049     0.189     0.240     0.067     0.174     0.013     0.011       NaN     0.170     0.276     0.476     0.006     0.062     0.023     0.275     0.029       NaN     0.022       NaN     0.601       NaN       NaN       NaN       NaN     0.603       NaN       NaN       NaN     0.005     0.015     0.080     0.186     0.266     0.560       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.267       NaN       NaN     0.105     0.407
    ARS227     0.011     0.032     0.048     0.194     0.030     0.067     0.118     0.332     0.049     0.096     0.033     0.103     0.024     0.118     0.013     0.085     0.077     0.064     0.229     0.156     0.080     0.154     0.033     0.022     0.015     0.116     0.217     0.306     0.012     0.034     0.053     0.161     0.031       NaN     0.026     0.028     0.372       NaN       NaN       NaN     0.028     0.373       NaN       NaN       NaN     0.014     0.062     0.168     0.106     0.194     0.345       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.082       NaN       NaN       NaN     0.153     0.291
    ARS228     0.018       NaN     0.050     0.241       NaN       NaN     0.105     0.474       NaN       NaN       NaN       NaN       NaN       NaN     0.013       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.011     0.011     0.014     0.054     0.254     0.381       NaN       NaN     0.052     0.255       NaN       NaN       NaN       NaN     0.539       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.006     0.038     0.157     0.035     0.202     0.459       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
  ARS228.5     0.018       NaN     0.050     0.086       NaN       NaN     0.043     0.159       NaN       NaN       NaN       NaN       NaN       NaN     0.013       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.011     0.011     0.014     0.054     0.063     0.101       NaN       NaN     0.052     0.085       NaN       NaN       NaN       NaN     0.158       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.006     0.024     0.046     0.035     0.042     0.108       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS229       NaN       NaN     0.232     0.536       NaN       NaN     0.392     0.815     0.239     0.355     0.242     0.405       NaN       NaN     0.153     0.377       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.226     0.518       NaN       NaN       NaN       NaN     0.892       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS300       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS301       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS302       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS302       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS303       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS320       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.006       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.004       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS304       NaN       NaN       NaN     0.064       NaN       NaN       NaN     0.085       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.045       NaN       NaN     0.048     0.045     0.069       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.037     0.047     0.056       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS305       NaN     1.250     1.073     1.089       NaN       NaN     1.023     1.030     1.441     1.692     1.419     1.599     1.399     1.477     1.721     1.686     1.202     1.349     1.099     1.283     1.354     1.260     2.264     1.466     1.172     2.792     1.452     1.096       NaN     1.254     1.098     1.148     1.204       NaN       NaN       NaN     1.106       NaN       NaN       NaN       NaN     1.110       NaN       NaN       NaN     2.355     1.278     1.063     2.553     1.384     1.102       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS306     1.165     1.256     1.140     1.127     1.130     1.216     1.154     1.127     1.183     1.269     1.150     1.177     1.200     1.153     1.350     1.249     1.068     1.083     0.816     1.072     1.111     1.063     1.876     1.365     1.190     2.320     1.409     1.039     1.099     1.141     0.984     1.039     1.192       NaN     1.118     0.949     0.914       NaN     0.870     0.767     0.949     0.918       NaN     1.011     0.816     2.127     1.267     1.070     2.327     1.417     1.057     1.040       NaN       NaN     1.041       NaN     1.021     0.997     1.064     1.046     1.053       NaN       NaN     0.995     1.049
    ARS307       NaN     1.140     1.143     1.135       NaN       NaN     1.264     1.152       NaN     0.668       NaN     0.676       NaN       NaN       NaN     0.551       NaN       NaN       NaN       NaN       NaN       NaN     1.274     1.171       NaN     0.931     1.253     1.010       NaN       NaN     1.035     0.978       NaN       NaN       NaN       NaN     0.849       NaN       NaN       NaN       NaN     0.853       NaN       NaN       NaN     0.990     1.141     1.080     0.801     1.045     1.016       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS308       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.192       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.152       NaN       NaN     0.066     0.113     0.119       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.164     0.273     0.364     0.070     0.109     0.144       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS309     0.467     0.608     1.031     1.105     0.470     0.482     1.013     1.080     0.591     0.625     0.616     0.676     0.371     0.579     0.260     0.440     0.654     0.593     0.698     0.732     0.459     0.721     0.660     0.626     0.502     0.707     1.358     1.168     0.508     0.614     1.075     1.150     0.678       NaN     0.626     0.541     1.100       NaN     0.733       NaN     0.541     1.105       NaN     0.853       NaN     0.410     1.011     1.187     0.572     1.226     1.226       NaN       NaN       NaN     0.854       NaN       NaN       NaN     0.644     0.953     1.016       NaN       NaN     1.015     1.009
    ARS310       NaN       NaN     1.079     1.254       NaN       NaN     1.109     1.255       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.910       NaN       NaN     0.998     1.198     1.115       NaN       NaN       NaN     1.084       NaN       NaN       NaN       NaN     1.163       NaN       NaN       NaN       NaN     1.168       NaN       NaN       NaN     0.677     0.840     1.020     1.019     1.133     1.162       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS313     0.006       NaN     0.024     0.260       NaN       NaN     0.081     0.498     0.015       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.012       NaN     0.006     0.055     0.235     0.519       NaN       NaN     0.021     0.277       NaN       NaN       NaN       NaN     0.607       NaN       NaN       NaN       NaN     0.609       NaN       NaN       NaN       NaN     0.008     0.056     0.037     0.179     0.591       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS314       NaN       NaN     0.033     0.357       NaN       NaN     0.103     0.665       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.012       NaN       NaN     0.082     0.262     0.573       NaN       NaN     0.029     0.350       NaN       NaN       NaN       NaN     0.864       NaN       NaN       NaN       NaN     0.868       NaN       NaN       NaN       NaN     0.009     0.064     0.137     0.271     0.753       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
  ARS314.5       NaN       NaN     0.010     0.014       NaN       NaN     0.010     0.017       NaN       NaN     0.008       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.088       NaN       NaN       NaN     0.012     0.007       NaN     0.016     0.012     0.012       NaN       NaN     0.006     0.007       NaN       NaN       NaN       NaN     0.015       NaN       NaN       NaN       NaN     0.015       NaN       NaN       NaN     0.004     0.009     0.064     0.007     0.017     0.013       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.139       NaN       NaN       NaN       NaN       NaN       NaN
    ARS315     0.316     0.339     0.617     0.650     0.349     0.361     0.645     0.707     0.470     0.410     0.490     0.481     0.297     0.412     0.232     0.380     0.578     0.331     0.606     0.514     0.385     0.493     0.617     0.436     0.383     0.574     0.850     0.830     0.334     0.318     0.722     0.778     0.416       NaN     0.303     0.406     0.701     0.738     0.407     0.467     0.406     0.703     0.738     0.473     0.497     0.334     0.673     0.802     0.582     0.799     0.791     0.624       NaN       NaN     0.566       NaN       NaN     0.488     0.408     0.650     0.631       NaN     0.500     0.744     0.663
    ARS316       NaN     0.038     0.043     0.334     0.039     0.077     0.134     0.613     0.038     0.082     0.041     0.103     0.027     0.108     0.012     0.091     0.066     0.066     0.251     0.162       NaN     0.144     0.035     0.015       NaN     0.098     0.285     0.513       NaN       NaN     0.040     0.276       NaN       NaN       NaN     0.017     0.630       NaN       NaN       NaN     0.017     0.632       NaN       NaN       NaN     0.013     0.033     0.150     0.082     0.235     0.563       NaN       NaN       NaN     0.128     0.152       NaN     0.033       NaN     0.080     0.250     0.085       NaN     0.158     0.395
    ARS317       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.008       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS318       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.233       NaN       NaN       NaN       NaN       NaN       NaN     0.012       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS319       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS400       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS403       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
  ARS402.5     0.003       NaN       NaN     0.014     0.016       NaN     0.005     0.030     0.009       NaN       NaN       NaN       NaN     0.047       NaN       NaN     0.014     0.027     0.083       NaN       NaN       NaN     0.012     0.007     0.006     0.015     0.014     0.023     0.004       NaN       NaN     0.011       NaN     0.018       NaN       NaN     0.024       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.004       NaN     0.004     0.006     0.016     0.026       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS404       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS405     0.006     0.054     0.050     0.351     0.036     0.084     0.179     0.724     0.037     0.117     0.026     0.152       NaN     0.162     0.009     0.119     0.057     0.042     0.184     0.193     0.061     0.186     0.020     0.012     0.010     0.137     0.448     0.688     0.007     0.052     0.075     0.428     0.042       NaN     0.025     0.016     0.800       NaN     0.412     0.356     0.016     0.803       NaN     0.479     0.378     0.005     0.048     0.242     0.148     0.380     0.645       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.104     0.079     0.298       NaN       NaN     0.161     0.456
  ARS405.5     0.006     0.008     0.009     0.023     0.036     0.013     0.027     0.051     0.008     0.009     0.006     0.015       NaN     0.162     0.007     0.015     0.057     0.042     0.184     0.193     0.032     0.186     0.010     0.007     0.010     0.016     0.448     0.042     0.007     0.006     0.014     0.022     0.042       NaN     0.010     0.016     0.044       NaN     0.412     0.356     0.016     0.044       NaN     0.479     0.378     0.004     0.008     0.037     0.008     0.024     0.054       NaN       NaN       NaN       NaN       NaN     0.172       NaN     0.104     0.079     0.095       NaN       NaN     0.074     0.456
    ARS406       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.249       NaN       NaN       NaN     0.720     0.807       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.209       NaN       NaN       NaN       NaN     0.209       NaN       NaN       NaN       NaN       NaN     0.361     0.666       NaN     0.652     0.842       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.571       NaN       NaN     0.557     0.708
    ARS407       NaN       NaN     0.032     0.074     0.032       NaN       NaN     0.170     0.035     0.048     0.028     0.055       NaN     0.066       NaN     0.048     0.069     0.064     0.269     0.112       NaN     0.123       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.039       NaN       NaN       NaN     0.153       NaN       NaN       NaN       NaN     0.153       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS408       NaN     0.028     0.021     0.078     0.020     0.041     0.056     0.144     0.020     0.039     0.015     0.046     0.015     0.054     0.007     0.039     0.030     0.024     0.086     0.056     0.035     0.058     0.013     0.010     0.007     0.042     0.065     0.105     0.005     0.019     0.024     0.072     0.018     0.010     0.010     0.009     0.117       NaN     0.163     0.108     0.009     0.117       NaN     0.190     0.115     0.004     0.022     0.092     0.040     0.082     0.144       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.058     0.098       NaN       NaN     0.077     0.138
    ARS409     0.057     0.144     0.227     0.487     0.073     0.178     0.258     0.537     0.241     0.375     0.247     0.442     0.090     0.389     0.058     0.310     0.306     0.162     0.629     0.503     0.258     0.439     0.155     0.104     0.087     0.335     0.343     0.480     0.061     0.152     0.228     0.437     0.143       NaN     0.078     0.122     0.564       NaN       NaN       NaN     0.122     0.567       NaN       NaN       NaN     0.046     0.120     0.308     0.298     0.283     0.451       NaN       NaN       NaN     0.396       NaN       NaN       NaN     0.259     0.388     0.579       NaN       NaN     0.431     0.621
  ARS409.3     0.013     0.144     0.227     0.487     0.073     0.178     0.091     0.537     0.241     0.012     0.024     0.025     0.090     0.389     0.016     0.310     0.306     0.162     0.629     0.503     0.258     0.044     0.019     0.104     0.087     0.024     0.034     0.037     0.061     0.152     0.228     0.437     0.143       NaN     0.078     0.122     0.564       NaN       NaN       NaN     0.122     0.567       NaN       NaN       NaN     0.013     0.045     0.099     0.010     0.028     0.038       NaN       NaN       NaN     0.396       NaN       NaN       NaN     0.259     0.388     0.579       NaN       NaN     0.431     0.621
  ARS409.5     0.057     0.024     0.227     0.106     0.073     0.178     0.120     0.165     0.241     0.375     0.021     0.021     0.090     0.389     0.014     0.310     0.306     0.162     0.629     0.503     0.258     0.439     0.010     0.104     0.013     0.023     0.076     0.115     0.061     0.152     0.228     0.096     0.143       NaN     0.078     0.122     0.119       NaN       NaN       NaN     0.122     0.119       NaN       NaN       NaN     0.046     0.029     0.148     0.010     0.054     0.126       NaN       NaN       NaN     0.396       NaN       NaN       NaN     0.259     0.388     0.579       NaN       NaN     0.431     0.621
    ARS410     0.008     0.071     0.059     0.459     0.036     0.112     0.179     0.882     0.042     0.159     0.040     0.200     0.020     0.205     0.009     0.145     0.065     0.053     0.223     0.271     0.077     0.206     0.017     0.013     0.009     0.158     0.411     0.723     0.007     0.063     0.073     0.488     0.051       NaN     0.028     0.014     0.924       NaN     0.423     0.371     0.014     0.928       NaN     0.491     0.395     0.006     0.053     0.245     0.169     0.442     0.821       NaN       NaN       NaN     0.230       NaN       NaN       NaN       NaN     0.092     0.380       NaN       NaN     0.171     0.546
    ARS412       NaN     0.083     0.225     0.522     0.086     0.157     0.394     0.841     0.098     0.205     0.096     0.235       NaN     0.231       NaN     0.185     0.161       NaN       NaN     0.283       NaN       NaN     0.057     0.031     0.031     0.226     0.701     0.862       NaN     0.076     0.289     0.625       NaN       NaN     0.126       NaN     0.884       NaN       NaN       NaN       NaN     0.888       NaN       NaN       NaN     0.017     0.218     0.627     0.203     0.637     0.877       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS413     0.394     0.476     0.865     0.910     0.410     0.496     0.881     0.952     0.588     0.510     0.574     0.551     0.395     0.581     0.297     0.454     0.726     0.456     0.943     0.718     0.528     0.688     0.545     0.417     0.415     0.573     0.933     1.117     0.428     0.484     0.839     0.945     0.561       NaN     0.418     0.537     0.952       NaN       NaN       NaN     0.538     0.956       NaN       NaN       NaN     0.308     0.760     1.004     0.500     0.970     1.069       NaN       NaN       NaN     0.739       NaN       NaN       NaN       NaN     0.915     0.790       NaN       NaN     0.848     0.818
  ARS413.5     0.394     0.010     0.865     0.015     0.410     0.012     0.023     0.034     0.588     0.510     0.574     0.551     0.395     0.023     0.297     0.012     0.726     0.456     0.078     0.718     0.528     0.688     0.013     0.417     0.415     0.016     0.017     0.027     0.428     0.484     0.839     0.016     0.561       NaN     0.418     0.537     0.024       NaN       NaN       NaN     0.538     0.024       NaN       NaN       NaN     0.308     0.760     0.019     0.008     0.021     0.030       NaN       NaN       NaN     0.739       NaN       NaN       NaN       NaN     0.915     0.790       NaN       NaN     0.848     0.818
    ARS414     0.287     0.364     0.732     0.776     0.346     0.369     0.792     0.760     0.491     0.486     0.525     0.495     0.396     0.524     0.269     0.419     0.587     0.414     0.823     0.551     0.424     0.549     0.656     0.424     0.324     0.637     0.754     0.718     0.278     0.310     0.729     0.748     0.396     0.307     0.300     0.392     0.712     0.731     0.459     0.467     0.392     0.715     0.731     0.534     0.497     0.485     0.686     0.857     0.591     0.729     0.733       NaN       NaN       NaN     0.554       NaN       NaN       NaN       NaN     0.739     0.674       NaN       NaN     0.713     0.692
    ARS415       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.899       NaN     0.984     0.991     0.809     0.899       NaN     0.984     1.152     0.860       NaN       NaN       NaN       NaN       NaN       NaN     0.974       NaN       NaN     1.005       NaN       NaN     0.989     1.008     1.075     1.107       NaN     0.984     1.023     1.097
    ARS416     0.819     0.816     1.189     1.132     1.161     1.056     1.248     1.162     0.831     0.782     0.807     0.772     1.116     0.987     0.878     0.917     0.863     0.613     0.757     0.865     0.623     0.831     1.060     0.920     0.760     1.163     1.526     1.313     0.778     0.800     1.115     1.175     0.891       NaN     0.744     0.812     1.111     1.144     0.767       NaN     0.812     1.115     1.144     0.891       NaN     1.018     1.386     1.262     1.381     1.579     1.222     0.958       NaN       NaN     0.919       NaN     0.971     0.862     0.792     0.955     0.946       NaN     1.102     1.271     1.231
    ARS417     0.206     0.275     0.657     0.620     0.298     0.284     0.770     0.638     0.368     0.306     0.336     0.306     0.281     0.337     0.228     0.275     0.448     0.236     0.419     0.428     0.228     0.413     0.428     0.313     0.248     0.403     0.682     0.704     0.243     0.242     0.766     0.653     0.266       NaN     0.215     0.312     0.595       NaN       NaN       NaN     0.312     0.597       NaN       NaN       NaN     0.361     0.721     0.965     0.451     0.688     0.780       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.578       NaN       NaN       NaN     0.619
