  ARS_name        A4        B4        C4        D4        E4        F4        G4        H4        A5        B5        C5        D5        E5        F5        G5        H5        A6        B6        C6        D6        E6        F6        G6        H6        I6        J6        K6        L6        A7        B7        C7        D7        E7        F7        G7        H7        I7        J7        K7        L7      H7_c      I7_c      J7_c      K7_c      L7_c        A8        B8        C8        D8        E8        F8        I8        J8        K8        L8        M8        N8       A10       B10       C10       D10       E10       F10       G10       H10
    ARS111       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS112       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS113       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS200       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS201       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
  ARS201.5       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
  ARS201.7       NaN       NaN       NaN       NaN       NaN       NaN     0.115       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.143       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.311       NaN
    ARS202     0.789     0.775     1.016     1.023     0.788     0.828     1.000     0.968     1.038     1.062     1.038     1.055     0.918     1.057     1.032     1.093     0.995     0.716     0.786     0.989     0.756     0.937     1.583     0.998     0.850     1.950     1.188     0.958     0.748     0.732     0.898     0.953     0.719     0.464     0.576     0.885     0.846     0.970     0.691     0.678     0.885     0.849     0.970     0.803     0.721     1.495     1.102     0.912     2.141     1.188     0.925     0.912       NaN       NaN     0.895       NaN     0.913     0.893     0.846     0.934     0.948       NaN     0.975     0.942     0.927
    ARS203     0.007     0.040     0.041     0.316     0.044     0.069     0.115     0.648     0.025     0.093     0.016     0.110       NaN     0.107       NaN     0.074     0.042     0.038     0.188     0.154     0.055     0.130     0.012     0.010     0.008     0.080     0.279     0.528     0.008     0.041     0.063     0.355     0.035       NaN     0.021     0.012     0.762       NaN     0.482     0.409     0.012     0.765       NaN     0.560     0.435     0.005     0.020     0.147     0.071     0.226     0.539       NaN       NaN       NaN     0.193       NaN       NaN       NaN       NaN       NaN     0.249       NaN       NaN     0.227     0.385
    ARS206     0.005     0.053     0.033     0.305     0.022     0.065     0.106     0.654     0.035     0.111     0.025     0.157     0.017     0.118     0.010     0.099     0.051     0.049     0.202     0.170     0.057     0.150     0.014     0.009     0.007     0.105     0.284     0.478     0.006     0.043     0.044     0.312     0.036       NaN     0.023     0.009     0.708     0.090     0.448     0.398     0.009     0.710     0.090     0.521     0.424     0.007     0.020     0.125     0.091     0.227     0.558       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.060     0.248       NaN       NaN     0.106     0.378
