  ARS_name        A4        B4        C4        D4        E4        F4        G4        H4        A5        B5        C5        D5        E5        F5        G5        H5        A6        B6        C6        D6        E6        F6        G6        H6        I6        J6        K6        L6        A7        B7        C7        D7        E7        F7        G7        H7        I7        J7        K7        L7      H7_c      I7_c      J7_c      K7_c      L7_c        A8        B8        C8        D8        E8        F8        I8        J8        K8        L8        M8        N8       A10       B10       C10       D10       E10       F10       G10       H10
  ARS207.1      2759      1581      1798      1829      2139      2263      1488      1705      2759      2046      3038      1891       NaN      3596      1922      3255      6293       NaN       NaN       NaN       NaN       NaN      3472      5363       NaN       961       899      1798       NaN      1953      1922      2139      6820       NaN       NaN       NaN      2325       NaN       NaN       NaN       NaN      2325       NaN       NaN       NaN      1674       992      1333      1240      1054      1612       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
  ARS207.5      4340      5642      2418      2480      2635      4712      1891      2232      3286      3100      3596      2697       NaN      3596      4743      3255      6293       NaN       NaN       NaN       NaN       NaN      1674      4650       NaN       775       806      1798       NaN       NaN      2480      2604      6820       NaN       NaN      8463      2573       NaN      7316      8866      8463      2573       NaN      7316      8866       775       806      1457       775       806      1705       NaN       NaN       NaN     10075       NaN       NaN       NaN      8308      8184      7440       NaN     10478      8804      7626
  ARS207.8      4340      5642      5797      2480      2635      4712      4898      2790      3286      3100      3596      2697       NaN      3596      6975      3255      6293       NaN       NaN       NaN       NaN       NaN      1798      3658       NaN      1736       806      1798       NaN       NaN      5456       372      6820       NaN       NaN       NaN      2573       NaN       NaN       NaN       NaN      2573       NaN       NaN       NaN      1860      2976      3534      1488      1612      1705       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS208      7843      6200      4836      3131     13671      7564      4619      2728      4402      3007      4960      3565      8711      4836      4433      3658      7037      7843      5766      6510      8339      7936      1302      2790      7161       930      1302      2697      8773      6727      4991      3224      7781       NaN      9362     11222      3689       NaN     14880       NaN     11222      3689       NaN     14880       NaN      1178      2728      4464       899      1085      2511       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     14849      9579       NaN       NaN       NaN     11284
    ARS209      7099      6262      5487      2883      8680      7068      2883      2356      5518      3100      5518      5332      8866      5797      5425      5270      8060      8370      5828      6882      8556      8370      1395      3906      7130      1333      1643      3534      8308      7192      5859      4278      7316       NaN      8525      9641      4991       NaN     10819       NaN      9641      4991       NaN     10819       NaN      1643      3193      4092      1457      1798      3317       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     11253      9889       NaN       NaN       NaN     10850
  ARS210.5       NaN       NaN      1798      2046       NaN       NaN       682      1953       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN      1240      2201       NaN       NaN      2294      3100       NaN       NaN       NaN       NaN      2511       NaN       NaN       NaN       NaN      2511       NaN       NaN       NaN       NaN       NaN      1364       NaN      1519      1550       NaN       NaN      2046       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS211      4991      4619      3193      2790      3627      4557      2666      2635      4991      4278      5332      4743      6076      6541      5611      4433      6975      7750      7967      6293      9827      7564      1209      3503      7099       930       992      2170      8215      6541      3286      2852      6107     16058      7812     10292      3131     16089     10974     16492     10292      3131     16089     10974     16492      1457      1054      2139       961       992      1953     15655     26443     25823     12369     24645     15717     17329     12493      9796      7409     19437     15407      8928      7998
    ARS212       NaN      2387      3627      3069      5022       NaN      1674      2232      6603      7657      5797      2232       NaN      4433      3441       NaN       NaN       NaN       NaN       NaN       NaN       NaN      1488      4588      8060      1643      1333      2232       NaN       NaN      4092      3627       NaN       NaN       NaN       NaN      2821       NaN       NaN       NaN       NaN      2821       NaN       NaN       NaN      1333      1147      1767      1240      1581      2108       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS213       NaN      6417      2666      2387      1922      8432      1519      2108      4712      4216      3441      5208       NaN      5797       NaN      4061       NaN      4278       NaN      7161       NaN      7471      1581      2573       NaN      1054       NaN      1860       NaN      7750      2170      2294       NaN       NaN       NaN       NaN      2387       NaN       NaN       NaN       NaN      2387       NaN       NaN       NaN      2108      1054      1271      1612      1209      1953       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN      3782       NaN       NaN       NaN      4774      8525
    ARS214      7812      6138      4185      3100      6882      7533      2728      2511      5177      3720      5053      4712      7161      5363      5177      4495      7223      7657      7471      7037      8866      7688      1271      3224       NaN       961       992      2418      7967      7130      4123      3007      7316       NaN      8711      9982      3410       NaN       NaN       NaN      9982      3410       NaN       NaN       NaN      1426      1302      2263      1147      1147      2077       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS215       NaN       NaN      1922      2015       NaN       NaN      1519      1829       NaN      2573       NaN      3410       NaN       NaN       NaN      2945       NaN       NaN       NaN       NaN       NaN       NaN      1302      1798       NaN      1023       868      1519       NaN       NaN      1829      2108       NaN       NaN       NaN       NaN      2046       NaN       NaN       NaN       NaN      2046       NaN       NaN       NaN      1116       930      1209      1271      1023      1364       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
  ARS215.5       248      1550      1612      1674      1581      4247      1426      1581      2449      5456      3224       279       NaN      2170       NaN      4185      7874      5642     12772      5673       NaN     12989      1364      6944      5952      1953      2201      2046     15872      9610      2077      3286       NaN       NaN      8773     14508      2170       NaN       NaN       NaN     14508      2170       NaN       NaN       NaN      1953      1271      1054      1798      2728      2170       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN      1240       NaN       NaN      2604      6386
    ARS216      7192      4898      2759      2325      4402      5549      1953      1860      4464      3875      4154      4464      6293      4712      3534      4154      6789      7285      6665      6758      8184      7812      1240      2852      7254       837      1054      2046      8804      7254      3224      2511      6820       NaN      8215     10788      2604     15500     10664       NaN     10788      2604     15500     10664       NaN      1178      1085      2015       899      1054      1767       NaN       NaN       NaN     14694       NaN       NaN       NaN     14384     11005      8463       NaN       NaN     10416      8959
    ARS217      1922      5084      1643      1922      1240      6696      1457      1891      2666      3658      2139      1984       NaN      6169       NaN      4340      7626      5766      7595      7068     18011      7595      1736      3286       589      1736       837      1674       868      8897      1488      2046      9083       NaN     12214       NaN      2170       NaN     10540     11997       NaN      2170       NaN     10540     11997      6448       868      1178      1333      1054      1643       NaN       NaN       NaN       NaN       NaN       NaN       NaN     10509       NaN      8432       NaN       NaN      7285      7378
    ARS218      3069      5022      1333      2263      2790      8370      1488      1953      3038      5301      4495      6944     13175      6293      1674      6231      7161     10602     10726      7564     10013      7657      2635      4681      3441      1395      1023      1705     11749      8246      1953      2170      9579       NaN      8742     12307      2356       NaN     13764     12958     12307      2356       NaN     13764     12958      1426       868      1364      1178      1240      1581     15221       NaN       NaN     18321       NaN       NaN       NaN     16957      8618      9827       NaN       NaN      6572      8866
    ARS219       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
  ARS219.5       NaN       NaN      1798      2294       NaN       NaN      1550      1798       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN      3286       NaN       NaN      1767       899      1612       NaN       NaN      2511      2511       NaN       NaN       NaN       NaN      2697       NaN       NaN       NaN       NaN      2697       NaN       NaN       NaN       NaN       961      1395       NaN      1240      1705       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS220      8835      5983      3906      2945      5890      7843      2542      2573      4805      3224      4557      4960      7099      5332      3968      4433      7564      7936      7719      7502      8587      7874      1364      3534      7998      1116      1240      2697       NaN      7223      4061      3069      8091       NaN       NaN       NaN      3348       NaN       NaN       NaN       NaN      3348       NaN       NaN       NaN      1581      1767      2511      1643      1612      2418       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS221       NaN       NaN      2914      2232       NaN       NaN      1891      2077      4650      3255      3751      4216       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN      1178      3131      5022       899       961      1984       NaN       NaN      2666      2449       NaN       NaN       NaN       NaN      2542       NaN       NaN       NaN       NaN      2542       NaN       NaN       NaN      1147      1147      1643      1333      1209      1922       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
  ARS221.5       NaN      4061       806      2511      4743      6231      1798      1953      4650      4092      3751      2201      2511      6386       NaN      8773       NaN      5301     16988      7688     15655      8680      1178      3131      5022      1271       930      1829       NaN       NaN      2666      1829       NaN       NaN       NaN       NaN      2015       NaN      8711     12524       NaN      2015       NaN      8711     12524      1147       372      1085       899      1271      1085       NaN       NaN       NaN      3224       NaN       NaN       NaN      9889       NaN      7905       NaN     16988       NaN      7750
    ARS222       NaN       NaN      1612      1767      2542       NaN      1395      1364       NaN       NaN       NaN      2294       NaN       NaN      2232      2387       NaN       NaN       NaN       NaN       NaN       NaN      1767      3627       NaN      1426       744      1333       NaN       NaN      2015      2232       NaN       NaN       NaN       NaN      2387       NaN       NaN       NaN       NaN      2387       NaN       NaN       NaN      2232       682       992       713       713      1116       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
  ARS222.5       NaN       NaN       124      1767      2542       NaN      2232      1364       NaN       NaN       NaN      2294       NaN       NaN      1550      2387       NaN       NaN       NaN       NaN       NaN       NaN      1767      3627       NaN      1271      2015      1333       NaN       NaN      2015      2232       NaN       NaN       NaN       NaN      2387       NaN       NaN       NaN       NaN      2387       NaN       NaN       NaN      1984      1457      1333       713       713      1116       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS223      3565      3999      3162      2046      4247      9207      1364      1860      3658      5549      3906      4805      9331      5487      3255      5239      5394     10199      7657      6727     10292      7595      2728      6696      4247      1736      1023      1643      9052      8525      2821      2170     11718       NaN       NaN     11594      2294       NaN       NaN       NaN     11594      2294       NaN       NaN       NaN      1767       868      1271      1953      1209      1457       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN      7130       NaN
    ARS224       620      6541      1519      1829      2604      3968      1364      1736      3751      3968      3100      3844       NaN      4774      2852      2945      5704      6727      6665      5394     10602      5921      1364      2635      2573       868       775      1364      7874      9052      1705      2015     10385       NaN     11501       NaN      2325       NaN       NaN       NaN       NaN      2325       NaN       NaN       NaN      4092       868       868       837       868      1302       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN      8153       NaN       NaN      6324      7068
    ARS225      8370      7130      2945      2201      2852      7192      1457      1798      6324      4991      3937      4681     11811      6851      3534      5456      6138      9207      8649      7440     11222      8277      2728      6169       NaN      1116      1116      1798     10199      7533      2945      2604      9269       NaN     12338       NaN      2635       NaN       NaN       NaN       NaN      2635       NaN       NaN       NaN      3348      1457      1085       992      1364      1519       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     12307       NaN       NaN      7595      9641
    ARS227      3193      4371      2666      1612      4123      2356      1457      1550      3565      3472      3844      3596      9424      5983      1581      3906      7347     11067      8215      9083     10695      9145      1581      4371      5146      1023       806      1364     10974      8897      2325      2170      9703       NaN     11904     13206      2201       NaN       NaN       NaN     13206      2201       NaN       NaN       NaN      1240       744      1240      1240       744      1240       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     12989       NaN       NaN       NaN      8339     10819
    ARS228       186       NaN      2015      1860       NaN       NaN      1426      1705       NaN       NaN       NaN       NaN       NaN       NaN      1550       NaN       NaN       NaN       NaN       NaN       NaN       NaN      2015      4371      1333       868       868      1674       NaN       NaN      1922      2046       NaN       NaN       NaN       NaN      1860       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       992       930      1116       992       961      1395       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
  ARS228.5       186       NaN      2015      1643       NaN       NaN      1240      1395       NaN       NaN       NaN       NaN       NaN       NaN      1550       NaN       NaN       NaN       NaN       NaN       NaN       NaN      2015      4371      1333       868       806      2232       NaN       NaN      1922      1984       NaN       NaN       NaN       NaN      2232       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       992       496      1519       992      2170      1643       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS229       NaN       NaN      3720      2108       NaN       NaN      1705      1767      3534      3286      4247      4278       NaN       NaN      3534      3875       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN      3751      2604       NaN       NaN       NaN       NaN      2356       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS300       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS301       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS302       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS302       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS303       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
