  ARS_name        A4        B4        C4        D4        E4        F4        G4        H4        A5        B5        C5        D5        E5        F5        G5        H5        A6        B6        C6        D6        E6        F6        G6        H6        I6        J6        K6        L6        A7        B7        C7        D7        E7        F7        G7        H7        I7        J7        K7        L7      H7_c      I7_c      J7_c      K7_c      L7_c        A8        B8        C8        D8        E8        F8        I8        J8        K8        L8        M8        N8       A10       B10       C10       D10       E10       F10       G10       H10
    ARS102       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
  ARS102.5      1891       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN      1488       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN      1550       992       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN      1767       NaN       NaN       NaN       806       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS103       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS104       NaN      4309      1860      1860      1643       NaN      1333      1767      2976      2728      2914      3131      4371      3968      2170      3782      5487       NaN      4402       NaN       NaN       NaN      1643      3968       NaN      1054      1023      1581       NaN       NaN      2356      2263       NaN       NaN       NaN       NaN      2046       NaN      6355       NaN       NaN       NaN       NaN       NaN       NaN      1054       868      1178      1054      1085      1240       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN      7874       NaN
    ARS105       NaN       NaN      2077      2077      1705      4557      1302      1612      4557      4216      4309      3782       NaN      4712      3782      4805      6727       NaN       NaN       NaN       NaN       NaN      1209      4278       558       992       775      1550       NaN       NaN      2170      2170       NaN       NaN       NaN       NaN      2325       NaN       NaN       NaN       NaN      2325       NaN       NaN       NaN      1550       837      1085      1054       930      1302       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS106      7471      3937      2914      1922      3379      3658      1891      1550      2976      2728      2852      3162      6169      2883      1085      3441      7161      8556      8339      6913      5766      7130      1333      3317      8153       806       930      1085     10044      8308      3038      1829      8587      8339      6138     12121      1922       NaN     12028     14539     12121      1922       NaN     12028     14539       961       930      1085       806       837      1054     17701       NaN       NaN     14942       NaN     20925     17887     15717     12214     11036     18104     17205     10478      9548
    ARS107      7409      5642      2728      2573      3441      7874      1488      1860      5053      4402      4402      4619      5983      5177      4929      4836      6200      6417      6479      6572      8432      6789      1054      3658      6851      1023      1085      2294      8277      7409      3131      2976      8215       NaN     11005     10974      3100       NaN     12152       NaN     10974      3100       NaN     12152       NaN      1457      1302      1798      1581      1333      2077       NaN       NaN       NaN       NaN       NaN       NaN       NaN     12338      8587      7316       NaN       NaN      7812      7502
  ARS107.5      7409      5642      2728      3534      3441      7874      1488      1860      5053      4402      4402      4619      5983      5177      4929      4836      6200      6417      6479      6572      8432      6789      2201      3658      6851      1054      1550      2418      8277      7409      1488      3007      8215       NaN     11005     10974      2728       NaN     12152       NaN     10974      2728       NaN     12152       NaN      1457       837      2170      1364      1116      2387       NaN       NaN       NaN       NaN       NaN       NaN       NaN     12338      8587      7316       NaN       NaN      7812      7502
    ARS108      6727      4681      3937      3162       NaN      6820      3472      2883      5859      4216      5704      6014      9579      6169      5921      4960      6975      8711      6820      6758      8711      8091      1612      3100      6727      1364      1519      2728      8618      6727      4619      3410      7130       NaN       NaN       NaN      3720       NaN       NaN       NaN       NaN      3720       NaN       NaN       NaN      2077      2635      3534      1488      1612      2573       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS109       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS110       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN      1209       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS111       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS112       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS113       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS200       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS201       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
  ARS201.5       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
  ARS201.7       NaN       NaN       NaN       NaN       NaN       NaN      1085       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       527       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN      1519       NaN
    ARS202      9269      7161      3813      3162     10261      8928      3193      2759      5859      5208      6138      5952     10881      7254      5673      5642      9424      9982      9486      9269     10788     10354      1333      3224      7347      1116      1767      3131      9796      8246      4929      3596      8587     19871     11160     11656      4712     19499     16399     17732     11656      4712     19499     16399     17732      1643      2573      3813      1147      1829      2945     19282       NaN       NaN     16771       NaN     20615     19034     16027     13795     11439       NaN     19778     17329     11656
    ARS203      2356      7316      2232      1767       682      6324      1271      1612      4185      3813      3503      3069       NaN      5270       NaN      4433      4836      8742      6293      5983      8711      5952      2201      5239      1333      1519       837      1581      4588      6603      1736      2015      7626       NaN     10354     13237      2139       NaN     11563     12679     13237      2139       NaN     11563     12679      1271      1147      1178      1457       992      1550       NaN       NaN       NaN      8990       NaN       NaN       NaN       NaN       NaN      7626       NaN       NaN      1333      6231
    ARS206      2635      4991      1767      1829      1519      5983      1240      1426      3906      3968      4216      4216      7409      5456       465      3410      6541      6758      7316      7099      9331      6076      2077      4960      4650      1209       744      1395     11935      7812      1829      2015      8091       NaN      9796     12400      1891     13733      9238     13082     12400      1891     13733      9238     13082      1116       806       899       806       806      1085       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     10168      9269       NaN       NaN      6479      7998
    ARS207      4340      5642      2418      2480      2635      4712      1891      2232      3286      3100      3596      2697       NaN      3596      4743      3255      6293       NaN       NaN       NaN       NaN       NaN      1674      4650       NaN      1178       806      1798       NaN       NaN      2480      2604      6820       NaN       NaN       NaN      2573       NaN       NaN       NaN       NaN      2573       NaN       NaN       NaN      1953       806      1457      1085       806      1705       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
